SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
433590,0,Cash loans,F,N,N,0,67500,225000,10822.5,225000,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.028663,-22789,365243,-9406,-4140,1,0,0,1,0,0,1,2,2,WEDNESDAY,19,0,0,0,0,0,0,XNA,0.486698599,,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203627,0,Revolving loans,F,N,Y,0,90000,202500,10125,202500,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.00823,-20441,365243,-4543,-2353,1,0,0,1,0,0,1,2,2,TUESDAY,13,0,0,0,0,0,0,XNA,0.504708741,0.542445144,0,0,0,0,-360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
280819,1,Cash loans,M,N,Y,1,63000,715500,20920.5,715500,Family,Working,Secondary / secondary special,Separated,House / apartment,0.01885,-15655,-310,-4508,-4548,1,1,1,1,0,0,2,2,2,MONDAY,12,0,0,0,0,1,1,Business Entity Type 3,0.581895119,,1,0,1,0,-781,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
386818,0,Cash loans,F,Y,Y,1,180000,1078200,34911,900000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.00702,-13298,-1267,-232,-1525,1,1,0,1,0,0,3,2,2,WEDNESDAY,11,0,0,0,0,0,0,Business Entity Type 3,0.619662001,0.586740009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
446223,0,Cash loans,F,N,N,0,198000,312768,12366,270000,Unaccompanied,Working,Higher education,Widow,House / apartment,0.008866,-19560,-2981,-7433,-3101,1,1,0,1,0,0,1,2,2,WEDNESDAY,12,0,0,0,0,0,0,Legal Services,0.781749948,0.432961667,0,0,0,0,-241,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
269613,0,Cash loans,M,N,N,0,180000,684706.5,33070.5,612000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.020246,-16366,-586,-8999,-4265,1,1,0,1,0,0,1,3,3,SATURDAY,12,0,0,0,0,0,0,Self-employed,0.436843038,,0,0,0,0,-1838,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
235699,0,Cash loans,F,N,Y,0,540000,1560726,41301,1395000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.011657,-20135,365243,-11721,-3663,1,0,0,1,0,0,2,1,1,THURSDAY,14,0,0,0,0,0,0,XNA,0.654651018,0.812822607,3,1,3,1,-1491,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
209634,1,Cash loans,F,N,N,0,40500,188460,9994.5,135000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-14326,-1887,-2756,-4331,1,1,0,1,0,0,2,3,3,SUNDAY,11,0,0,0,0,0,0,School,0.607984064,0.673830078,0,0,0,0,-1267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
320538,0,Cash loans,F,Y,Y,1,180000,536917.5,19413,463500,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.072508,-13440,-195,-7521,-700,1,1,0,1,0,0,2,1,1,MONDAY,19,0,0,0,0,0,0,Business Entity Type 3,0.766259242,,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284402,1,Cash loans,M,Y,N,0,202500,1125000,32895,1125000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Municipal apartment,0.002506,-13464,-1485,-3773,-3811,1,1,1,1,0,0,2,2,2,FRIDAY,13,0,0,0,1,0,1,Agriculture,0.113579101,,0,0,0,0,-1072,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411175,0,Cash loans,M,Y,N,0,360000,900000,25794,900000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Municipal apartment,0.011657,-16157,-667,-1427,-2364,1,1,1,1,1,0,2,1,1,FRIDAY,15,1,1,0,1,1,0,Industry: type 11,0.624032861,0.392773861,0,0,0,0,-11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
